COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,SCHOOL_NAME,SUBJECT,TESTED,Mean,Level1,Level2,Level3,Level4,Level5,MET_EXCEED
3,2050,50,BERGEN    ,HARRINGTON PARK BORO,HARRINGTON PARK          ,Math,371,758.3,2.3,7.8,25.2,54,10.5,64.7
3,2080,55,BERGEN    ,HASBROUCK HEIGHTS,HASBROUCK HEIGHTS MIDDLE ,ELA,408,745.3,6.7,18.3,28.7,39,7,46
3,2080,55,BERGEN    ,HASBROUCK HEIGHTS,HASBROUCK HEIGHTS MIDDLE ,Math,397,743,6,19,31.7,39.3,4.3,43.7
3,2090,50,BERGEN    ,HAWORTH BORO,HAWORTH                  ,ELA,273,774.8,1.2,6.8,14.5,42.7,34.8,77.7
3,2090,50,BERGEN    ,HAWORTH BORO,HAWORTH                  ,Math,243,755.8,3.5,11,23.8,52.3,9,61.7
3,2180,20,BERGEN    ,HILLSDALE BORO,GEORGE G WHITE           ,ELA,579,762,3,8,21,52,16.2,68.5
3,2180,20,BERGEN    ,HILLSDALE BORO,GEORGE G WHITE           ,Math,526,745.8,4.5,15.5,33.2,42.5,4.2,46.5
3,2200,50,BERGEN    ,HO HO KUS BORO,HO-HO-KUS                ,ELA,386,773.7,1,5.5,14.8,52.2,27,79.3
3,2200,50,BERGEN    ,HO HO KUS BORO,HO-HO-KUS                ,Math,362,757.5,1.2,11.7,22.3,56.7,8,64.7
3,2620,55,BERGEN    ,LEONIA,LEONIA MIDDLE            ,ELA,353,767.7,3,5.7,21,45.7,24.7,70.3
3,2620,55,BERGEN    ,LEONIA,LEONIA MIDDLE            ,Math,296,754.7,2.7,13,22,56,7,62.7
3,2710,30,BERGEN    ,LITTLE FERRY BORO,MEMORIAL                 ,ELA,570,747.8,6,16,29.3,42.3,6.3,48.5
3,2710,30,BERGEN    ,LITTLE FERRY BORO,MEMORIAL                 ,Math,547,737.3,6.2,25.2,39.5,25.8,3.2,28.8
3,2740,67,BERGEN    ,LODI,THOMAS JEFFERSON MID SCH ,ELA,660,742,9.7,17.7,29.7,36.7,6,43
3,2740,67,BERGEN    ,LODI,THOMAS JEFFERSON MID SCH ,Math,439,730.5,10.5,29,39,21,0.5,21.5
3,2860,80,BERGEN    ,LYNDHURST TOWNSHIP,JEFFERSON                ,ELA,175,739.2,15.2,23.6,21.8,30.8,8.6,39.4
3,2860,80,BERGEN    ,LYNDHURST TOWNSHIP,JEFFERSON                ,Math,145,732,13.5,26.2,31,29.2,0,29.2
3,2860,90,BERGEN    ,LYNDHURST TOWNSHIP,LINCOLN                  ,ELA,209,749.8,6.4,14.8,30.2,38.8,9.8,49
3,2860,90,BERGEN    ,LYNDHURST TOWNSHIP,LINCOLN                  ,Math,191,738.4,10.6,21.4,30.4,34.8,2.8,37.6
3,2860,110,BERGEN    ,LYNDHURST TOWNSHIP,ROOSEVELT                ,ELA,314,753.6,4.2,11,25.6,49.6,9.2,58.8
3,2860,110,BERGEN    ,LYNDHURST TOWNSHIP,ROOSEVELT                ,Math,289,738.6,6,26.4,34.8,31,2.2,33.2
3,2900,76,BERGEN    ,MAHWAH TOWNSHIP,RAMAPO RIDGE             ,ELA,645,772.3,2.3,5,15,45.7,32,77.7
3,2900,76,BERGEN    ,MAHWAH TOWNSHIP,RAMAPO RIDGE             ,Math,541,753,4,9.7,27,54,6,60
3,3060,60,BERGEN    ,MAYWOOD BORO,MAYWOOD AVE              ,ELA,488,763.4,3,9,19.6,49.2,19.2,68.2
3,3060,60,BERGEN    ,MAYWOOD BORO,MAYWOOD AVE              ,Math,463,751.6,3.8,12.2,28,50,5.8,55.8
3,3170,50,BERGEN    ,MIDLAND PARK BOROUGH,MIDLAND PARK HIGH        ,ELA,282,760.8,4.2,11.4,22.4,41.2,21,61.8
3,3170,50,BERGEN    ,MIDLAND PARK BOROUGH,MIDLAND PARK HIGH        ,Math,124,742.5,9.5,17,32.5,36.5,4,40.5
3,3330,20,BERGEN    ,MONTVALE BORO,FIELDSTONE MIDDLE        ,ELA,417,771.2,0.2,4.8,16.2,56.2,22.8,78.5
3,3330,20,BERGEN    ,MONTVALE BORO,FIELDSTONE MIDDLE        ,Math,363,753.8,1.8,11.2,31.5,46.8,8.8,55.5
3,3350,60,BERGEN    ,MOONACHIE BORO,ROBERT L CRAIG           ,ELA,172,741.3,13.8,14.2,27.2,41,4,45
3,3350,60,BERGEN    ,MOONACHIE BORO,ROBERT L CRAIG           ,Math,161,737.2,7.7,30.7,27.5,29.8,4.2,33.8
3,3550,85,BERGEN    ,NEW MILFORD,DAVID E. OWENS M.S.      ,ELA,416,767.7,3.3,6.7,15.3,48.7,26.3,74.7
3,3550,85,BERGEN    ,NEW MILFORD,DAVID E. OWENS M.S.      ,Math,387,739.7,6.7,20.7,36,33.7,3.3,37
3,3600,90,BERGEN    ,NORTH ARLINGTON,NORTH ARLINGTON M.S.     ,ELA,291,752.7,3.3,11.7,30.3,46.3,8.7,54.7
3,3600,90,BERGEN    ,NORTH ARLINGTON,NORTH ARLINGTON M.S.     ,Math,273,740,4.7,24,34.7,34.7,1.7,36.3
3,3730,50,BERGEN    ,NORTHVALE BORO,NORTHVALE PUBLIC SCHOOL           ,ELA,324,763.8,3.8,9,19,51.7,16.5,67.8
3,3730,50,BERGEN    ,NORTHVALE BORO,NORTHVALE PUBLIC SCHOOL           ,Math,306,752.2,4.2,16,23,50.8,6.2,57
3,3740,20,BERGEN    ,NORWOOD BORO,NORWOOD                  ,ELA,308,765.7,3,7.8,16.8,53.8,19,72.8
3,3740,20,BERGEN    ,NORWOOD BORO,NORWOOD                  ,Math,268,751.2,5.7,11.8,29,44,9.3,53.7
3,3760,80,BERGEN    ,OAKLAND BORO,VALLEY MIDDLE            ,ELA,458,761.7,3,6,25.3,47,18.3,65.3
